Id;SerialNumber;JobNr;Model;Description;Customer;FinalUser;Country;ManufactureDate;InstallationDate;MaterialType;ProductionRate;TotalPower;TotalWater;Certification
204;39;P19-051;A-S-PLUS;A-60-ECO-RF-MSC;Plastigaur;Plastigaur;;2019-01;2019-01;PE-PP;90;33;;
205;301;P23-022;A-L-HC;A-L-HC-MSC;RKW PETERSAURACH;RKW PETERSAURACH;;2023-01;2023-01;PE-PP;160;68;;
206;328;P24-015;A-L-HC;A-L-HC-V-FF-MSC-400/50-3N;UKE - nmc;UKE - nmc;;2024-01;2024-01;PE-PP;160;68;;
207;307;P23-018;A-M-AC;A-M-13-2N-N-0-M-W2C4F6C-0-B-S-NR-0;SYNCRO USA LLC / ISOFlex Packaging;SYNCRO USA LLC / ISOFlex Packaging;;2023-01;2023-01;PE-PP;130;47;;
208;308;P23-018;A-M-AC;A-M-13-2N-N-0-M-W2C4F6C-0-B-S-NR-0;SYNCRO USA LLC / ISOFlex Packaging;SYNCRO USA LLC / ISOFlex Packaging;;2023-01;2023-01;PE-PP;130;47;;
209;337;P24-021;A-M-HC;A-M-HC-RF-TB-MSC-CE-480/60-NOAB;EXTRUSION AUTOMATION ;EXTRUSION AUTOMATION ;;2024-01;2024-01;PE-PP;130;47;;
210;338;P24-022;A-M-HC;A-M-HC-RF-TB-MSC-CE-480/60-NOAB;EXTRUSION AUTOMATION ;EXTRUSION AUTOMATION ;;2024-01;2024-01;PE-PP;130;47;;
211;339;P24-023;A-M-HC;A-M-HC-RF-TB-MSC-CE-480/60-NOAB;EXTRUSION AUTOMATION ;EXTRUSION AUTOMATION ;;2024-01;2024-01;PE-PP;130;47;;
212;340;P24-024;A-M-HC;A-M-HC-RF-TB-MSC-CE-480/60-NOAB;EXTRUSION AUTOMATION ;EXTRUSION AUTOMATION ;;2024-01;2024-01;PE-PP;130;47;;
213;263;P22-067;A-M-HC;A-M-HC-RF-TB-MSC-CE-480-60Hz-NOAB;Syncro USA / SOUTHERN FILM EXTRUDERS, INC.;Syncro USA / SOUTHERN FILM EXTRUDERS, INC.;;2023-01;2023-01;PE-PP;130;47;;
214;264;P22-067;A-M-HC;A-M-HC-RF-TB-MSC-CE-480-60Hz-NOAB;Syncro USA / SOUTHERN FILM EXTRUDERS, INC.;Syncro USA / SOUTHERN FILM EXTRUDERS, INC.;;2023-01;2023-01;PE-PP;130;47;;
215;265;P22-068;A-M-HC;A-M-HC-RF-TB-MSC-CE-480-60Hz-NOAB;Syncro USA / COASTAL FILMS OF FLORIDA;Syncro USA / COASTAL FILMS OF FLORIDA;;2023-01;2023-01;PE-PP;130;47;;
216;234;P22-038;A-M-TB;A-M-TB-RF-HC-MSC-2-CE-4003N-SR;SY-USA / RKW USA;SY-USA / RKW USA;;2022-01;2022-01;PE-PP;130;47;;
